Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Class of Orbit,Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
ALiCE,NR,US Air Force Institute of Technology,USA,Military,Technology Development,LEO,443.0,886.0,0.0315,120.3,98,12/6/2013,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467.0
Alphasat I-XL,United Kingdom,"INMARSAT, Ltd./European Space Agency",United Kingdom/ESA,Commercial/Government,Communications/Technology Development,GEO,35786.0,35787.0,1.19e-05,0.02,1436.09,7/25/2013,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2013-038A,39215.0
Alsat-2A,Algeria,Centre National des Techniques Spatiales (CNTS),Algeria,Government,Earth Observation,LEO,672.0,674.0,0.000142,98.1,98.2,7/12/2010,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Center,PSLV,2010-035D,36798.0
Amazonas-1,Brazil,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,GEO,35776.0,35797.0,0.000249,0.04,1436.1,8/4/2004,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2004-031A,28393.0
Amazonas-2,Brazil,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,GEO,35767.0,35805.0,0.000451,0.03,1436.08,10/1/2009,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,2009-054A,35942.0
Amazonas-3,Brazil,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,GEO,35781.0,35791.0,0.000119,0.03,1436.05,2/7/2013,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078.0
Amazonas-4A,NR,Hispamar (subsidiary of Hispasat - Spain),Spain,Commercial,Communications,GEO,35784.0,35795.0,0.00013,0.08,1436.24,3/22/2014,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2014-011A,39616.0
AMC-1,USA,SES (Société Européenne des Satellites (SES)),USA,Commercial,Communications,GEO,35772.0,35800.0,0.000332,0.03,1436.1,9/8/1996,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,1996-054A,24315.0
AMC-10,USA,SES World Skies,USA,Commercial,Communications,GEO,35775.0,35797.0,0.000261,0.01,1436.09,2/5/2004,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-003A,28154.0
AMC-11,USA,SES World Skies,USA,Commercial,Communications,GEO,35774.0,35797.0,0.000273,0.04,1436.07,5/19/2004,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252.0
AMC-15,USA,SES World Skies,USA,Commercial,Communications,GEO,35777.0,35795.0,0.000213,0.04,1436.08,10/14/2004,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,2004-041A,28446.0
AMC-16,USA,SES World Skies,USA,Commercial,Communications,GEO,35780.0,35793.0,0.000154,0.02,1436.1,12/17/2004,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2004-048A,28472.0
AMC-18,USA,SES World Skies,USA,Commercial,Communications,GEO,35773.0,35800.0,0.00032,0.06,1436.1,12/8/2006,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,2006-054B,29644.0
AMC-2,USA,SES World Skies,USA,Commercial,Communications,GEO,35774.0,35798.0,0.000285,0.05,1436.1,1/30/1997,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,1997-002A,24713.0
AMC-21,United Kingdom,SES World Skies,USA,Commercial,Communications,GEO,35778.0,35793.0,0.000178,3.0,1436.1,8/14/2008,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275.0
AMC-3,USA,SES World Skies,USA,Commercial,Communications,GEO,35777.0,35795.0,0.000213,0.02,1436.08,9/4/1997,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2AS,1997-050A,24936.0
AMC-4,USA,SES World Skies,USA,Commercial,Communications,GEO,35781.0,35791.0,0.000119,0.01,1436.1,11/13/1999,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,1999-060A,25954.0
AMC-6,USA,SES World Skies,USA,Commercial,Communications,GEO,35778.0,35795.0,0.000202,0.05,1436.12,10/22/2000,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,2000-067A,26580.0
AMC-7,USA,SES World Skies,USA,Commercial,Communications,GEO,35773.0,35798.0,0.000297,0.01,1436.08,9/14/2000,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-054B,26495.0
AMC-8,USA,SES World Skies,USA,Commercial,Communications,GEO,35773.0,35798.0,0.000297,0.03,1436.07,12/19/2000,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,2000-081B,26639.0
AMC-9,USA,SES World Skies,USA,Commercial,Communications,GEO,35773.0,35798.0,0.000297,0.05,1436.08,6/7/2003,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton K,2003-024A,27820.0
Amos 2,NR,Israel Aircraft Industries,Israel,Military/Commercial,Communications,GEO,35778.0,35794.0,0.00019,0.05,1436.08,12/27/2003,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat ,2003-059A,28132.0
Amos 3,NR,Space-Communication Ltd,Israel,Military/Commercial,Communications,GEO,35783.0,35789.0,7.12e-05,0.04,1436.1,4/28/2008,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,2008-022A,32794.0
Amos 4,NR,Space-Communication Ltd,Israel,Military/Commercial,Communications,GEO,35633.0,35796.0,0.00194,0.01,1432,8/31/2013,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,2013-045A,39237.0
Amos 5,NR,Space-Communication Ltd,Israel,Military/Commercial,Communications,GEO,35595.0,36007.0,0.00488,0.09,1436.08,12/11/2011,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,2011-074A,37950.0
Amsat-Oscar 7,USA,Amsat-NA,USA,Civil,Communications,LEO,1440.0,1459.0,0.00121,101.4,114.9,11/15/1974,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530.0
Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,GEO,35778.0,35793.0,0.000178,0.02,1436.08,11/21/2000,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624.0
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,GEO,35777.0,35795.0,0.000213,0.02,1436.1,9/9/2005,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2005-036A,28868.0
Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,GEO,35781.0,35790.0,0.000107,0.01,1436.08,7/18/2004,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378.0
Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,GEO,35778.0,35794.0,0.00019,0.01,1436.1,4/9/2007,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,2007-009A,31102.0
Anik G1,NR,"Telesat Canada Ltd. (BCE, Inc.)",Canada,Commercial,Communications,GEO,35773.0,35799.0,0.000308,0.01,1436.08,4/15/2013,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2013-014A,39127.0
AntelSat,NR,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Uruguay,Civil,Technology Development,LEO,612.0,696.0,0.00598,97.96,96.99,6/19/2014,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Uruguay,Dombarovsky Air Base,Dnepr,2014-033AA,40034.0
AprizeSat 1,USA,Aprize Satellites Argentina,Argentina,Commercial,Communications/Technology Development,LEO,696.0,764.0,0.00479,98.0,99.4,6/29/2004,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025G,28372.0
AprizeSat 10,NR,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,613.0,733.0,0.00852,97.9,98,6/19/2014,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019.0
AprizeSat 2,USA,Aprize Satellites Argentina,Argentina,Commercial,Communications/Technology Development,LEO,694.0,850.0,0.0109,98.2,100.3,6/29/2004,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025A,28366.0
AprizeSat 3,USA,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,559.0,662.0,0.00738,98.18,97,7/29/2009,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686.0
AprizeSat 4,USA,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,604.0,674.0,0.00499,98.1,97.5,7/29/2009,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684.0
AprizeSat 5,USA,AprizeSat,Canada,Commercial,Communications,LEO,610.0,694.0,0.00598,98.2,97.8,8/17/2011,SpaceQuest,USA,Dombarovsky Air Base,Dnepr 1,2011-044E,37792.0
AprizeSat 7,USA,AprizeSat,Canada,Commercial,Communications,LEO,594.0,653.0,0.00422,97.8,97.17,11/21/2013,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416.0
AprizeSat 8,NR,Aprize Satellite,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,594.0,669.0,0.00536,97.8,97.99,11/21/2013,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425.0
AprizeSat 9,NR,exactEarth,Canada,Commercial,Communications/Maritime Tracking,LEO,613.0,715.0,0.00725,97.9,98,6/19/2014,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018.0
Apstar 1A,China,APT Satellite Holdings Ltd.,China,Commercial,Communications,GEO,35779.0,35790.0,0.00013,5.89,1436.03,7/3/1996,Hughes,USA,Xichang Satellite Launch Center,Long March 3,1996-039A,23943.0
Apstar 6,China,APT Satellite Holdings Ltd.,China,Commercial,Communications,GEO,35778.0,35794.0,0.00019,0.01,1436.08,4/12/2005,Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B,2005-012A,28638.0
Apstar 7,China,APT Satellite Holdings Ltd.,China,Commercial,Communications,GEO,35864.0,35874.0,0.000118,0.03,1440.31,3/31/2012,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,2012-013A,38107.0
Apstar 9,China,APT Satellite Holdings Ltd.,China,Commercial,Communications,GEO,35782.0,35788.0,7.12e-05,0.12,1436.01,10/16/2015,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-059A,40982.0
Apstar 9A,China,APT Satellite Holdings Ltd.,China,Commercial,Communications,GEO,35778.0,35795.0,0.000202,0.02,1436.12,5/30/1998,Lockheed Martin,USA,Xichang Satellite Launch Center,Long March 3B,1998-033A,25354.0
Arabsat 5C,NR,Arab Satellite Communications Org. (ASCO),Multinational,Government,Communications,GEO,35766.0,35805.0,0.000463,0.06,1436.06,9/21/2011,Astrium/Thales Alenia Space,France,Guiana Space Center,Arinae 5 ECA,2011-049B,37810.0
Arabsat 7F,Canada,Arab Satellite Communications Org. (ASCO),Multinational,Commercial,Communications,GEO,35778.0,35794.0,0.00019,0.01,1436.09,5/20/1999,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,1999-027A,25740.0
ARC-1,NR,University of Alaska-Fairbanks,USA,Civil,Technology Development,LEO,497.0,801.0,0.0217,64.78,97.71,10/8/2015,University of Alaska-Fairbanks,USA,Cape Canaveral,Atlas 5,2015-058F,40969.0
ArSat 1,Argentina,ArSat,Argentina,Commercial,Communications,GEO,35778.0,35795.0,0.000202,0.01,1436.07,10/16/2014,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2014-062B,40272.0
ArSat 2,Argentina,ArSat,Argentina,Commercial,Communications,GEO,35786.0,35801.0,0.000178,0.01,1436.06,9/30/2015,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,2015-054B,40941.0
Advanced Data Relay and Technology Mission Satellite (Artemis) ,ESA,European Space Agency,ESA,Commercial/Government,Communications/Technology Development,GEO,35771.0,35803.0,0.00038,7.03,1436.12,7/12/2001,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,2001-029A,26863.0
AsiaSat-3S,China,Asia Satellite Telecommunications Co. Ltd. ,China,Commercial,Communications,GEO,35780.0,35792.0,0.000142,0.02,1436.07,3/21/1999,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,1999-013A,25657.0
AsiaSat-4,China,Asia Satellite Telecommunications Co. Ltd.,China,Commercial,Communications,GEO,35784.0,35789.0,5.93e-05,0.0,1436.1,4/12/2003,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,2003-014A,27718.0
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,China,Commercial,Communications,GEO,35778.0,35795.0,0.000202,0.0,1436.11,8/11/2009,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,2009-042A,35696.0
AsiaSat-6,China,Asia Satellite Telecommunications Co. Ltd.,China,Commercial,Communications,GEO,35783.0,35793.0,0.000119,0.07,1436.17,9/7/2014,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-052A,40141.0
AsiaSat-7,China,Asia Satellite Telecommunications Co. Ltd. ,China,Commercial,Communications,GEO,35782.0,35793.0,0.00013,0.02,1436.17,11/25/2011,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,2011-069A,37933.0
AsiaSat-8,China,Asia Satellite Telecommunications Co. Ltd. ,China,Commercial,Communications,GEO,35781.0,35793.0,0.000142,0.07,1436.1,8/5/2014,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,2014-046A,40107.0
AsiaStar,USA,1Worldspace,USA,Commercial,Communications,GEO,35773.0,35801.0,0.000332,0.02,1436.15,3/21/2000,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,2000-016A,26107.0
ASNARO-1,Japan,"Ministry of Economy, Trade and Industry",Japan,Government,Earth Observation,LEO,506.0,507.0,7.27e-05,97.48,94.75,11/6/2014,NEC,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298.0
Astra 1D,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35776.0,35795.0,0.000225,1.15,1436.08,11/1/1994,Hughes,USA,Guiana Space Center,Ariane 42P,1994-070A,23331.0
Astra 1F,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35778.0,35797.0,0.000225,0.03,1436.15,4/18/1996,Hughes,USA,Baikonur Cosmodrome,Proton K,1996-021A,23842.0
Astra 1G,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35780.0,35791.0,0.00013,0.04,1436.08,12/2/1997,Hughes,USA,Baikonur Cosmodrome,Proton K,1997-076A,25071.0
Astra 1H,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35776.0,35794.0,0.000213,0.06,1436.04,6/18/1999,Hughes,USA,Baikonur Cosmodrome,Proton D,1999-033A,25785.0
Astra 1KR,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35766.0,35807.0,0.000486,0.08,1436.1,4/20/2006,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,2006-012A,29055.0
Astra 1L,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35772.0,35798.0,0.000308,0.05,1436.03,5/4/2007,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,2007-016A,31306.0
Astra 1M,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35804.0,35852.0,0.000569,0.14,1438.2,11/5/2008,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2008-057A,33436.0
Astra 1N,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35715.0,35780.0,0.000772,0.12,1434.1,8/6/2011,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2011-041A,37775.0
Astra 2A,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35776.0,35797.0,0.000249,0.08,1436.12,8/30/1998,Hughes,USA,Baikonur Cosmodrome,Proton K,1998-050A,25462.0
Astra 2B,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35772.0,35801.0,0.000344,0.07,1436.11,9/14/2000,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,2000-054A,26494.0
Astra 2C,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35768.0,35804.0,0.000427,0.07,1436.12,6/16/2001,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,2001-025A,26853.0
Astra 2D,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35770.0,35802.0,0.00038,0.07,1436.1,12/19/2000,Hughes,USA,Guiana Space Center,Ariane 5G,2000-081A,26638.0
Astra 2E,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35781.0,35793.0,0.000142,0.11,1436.12,9/29/2013,EADS Astrium,France,Baikonur Cosmodrome,Proton M,2013-056A,39285.0
Astra 2F,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35777.0,35795.0,0.000213,0.06,1436.07,9/28/2012,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,2012-051A,38778.0
Astra 2G,NR,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35785.0,35789.0,4.74e-05,0.09,1436.11,12/27/2014,Airbus Defense and Space,Germany/France,Baikonur Cosmodrome,Proton-M,2014-089A,40364.0
Astra 3A,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35770.0,35804.0,0.000403,0.06,1436.07,3/29/2002,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2002-015B,27400.0
Astra 3B,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35768.0,35806.0,0.000451,0.08,1436.11,5/21/2010,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,2010-021A,36581.0
Astra 5B,Luxembourg,SES (Société Européenne des Satellites (SES)),Luxembourg,Commercial,Communications,GEO,35787.0,35793.0,7.12e-05,0.05,1436.26,3/22/2014,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,2014-011B,39617.0
Astrosat,NR,Telemetry Tracking and Command Network (ISTRAC) Centre,India,Government,Space Science,LEO,632.0,649.0,0.00121,5.99,97.54,9/28/2015,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C-30,2015-052A,40930.0
